,Name of user,Competition Name,Label,Ranking
171,123,Inquizito - Tickle Your Grey Cells,0,0.0
172,123,Finathon - Time To Trade!,0,0.0
173,123,Yalgaar - Time For Halla Bol!,0,0.0
174,123,IntellOps- Article Writing Competition By OpCellence,0,0.0
175,123,BIOCON PRESENTS SHOT OF LIFE,0,0.0
176,123,NEC IIT Bombay Presents Empresario,0,0.0
177,123,Rural Le Carte,0,0.0
178,123,The Fast Pay Story,0,0.0
179,123,"FINAcumen, IIM Nagpur",0,0.0
180,123,NEC IIT Bombay Presents Hashtrix,0,0.0
181,123,NEC IIT Bomaby Presents HackStack,0,0.0
182,123,Asia Pacific International Conference,0,0.0
183,123,Interview Question Of Year 2017,0,0.0
184,123,The Great Analytics Quiz,0,0.0
185,123,"Paper Presentation On ""  Effect Of App Based Learning In School Education (K-12)""",0,0.0
186,123,KDP Pen To Publish Contest,0,0.4066151138562596
187,123,Banjara International Film Festival 2017,0,-0.03447682880706175
188,123,Spanish Guitar Competition 2017,0,0.3867503014048362
189,123,SSGK Maestro Olympiad,0,0.3630183775935553
190,123,Global Business Model Competition 2017,0,0.04369803258087884
191,123,National Geography Olympiad 2017,0,0.2534144495092727
192,123,NATS Talent Search,1,0.6882949123108572
193,123,JIFF ISC Script Contest,0,0.0
194,123,Maay Marathi Film Competition 2017,0,0.14493946467489874
195,123,Project Innovation Contest,0,0.14592012697865145
196,123,Dream Build Play 2017 Challenge,1,0.6137983607084246
197,123,Photography Competition 2017,1,0.5252387662737453
198,123,Asia Young Designer Award Contest,1,0.5587484704244292
199,123,GYTI Innovation Awards,0,0.0
200,123,Haryana Vigyan / Yuva Vigyan Ratna Awards 2017-18,0,0.26411309293820756
201,123,Dr. A P J Abdul Kalam National Legal Essay Competition 2017,0,0.16608845328439747
202,123,1st Justice P N Bhagwati Research Paper Writing Competition 2017,0,0.017033077758239527
203,123,Best International Future Lawyer Award 2017,0,0.0
204,123,Archasm Architecture Competition 2017,0,-0.026105190129576458
205,123,4th National Essay Writing Competition 2018,0,0.2084949296317157
206,123,India?s Storytellers/ Script Contest 2017-2018,0,0.4843608557468051
207,123,Third National Essay Competition on Water 2017-18,0,0.2977577325316162
208,123,Soul of Bengaluru Photo Contest 2017,0,0.10376508987672976
209,123,1st International Article Writing Competition 2017,0,0.29980720931963034
210,123,"Combating Corruption, Battling Black Money Competition 2017",0,0.09408913110252216
211,123,Solar Chulha Innovation Challenge 2017,0,0.18939278216018815
212,131,KTH Master's Challenge (Full Scholarship + Monthly Stipend),0,0.0
213,131,Marksman Call For Articles- November 2017,0,0.11291652184516153
214,131,Convergence 2017,0,0.11291652184516153
215,131,Prarambh 2018,0,0.0
216,131,Click India Photography Competition - Shot 3,0,0.3061763561565236
217,131,NEC IIT Bombay Presents The Entrepreneurship Quiz Challenge,0,0.0
218,131,Battleground 8.0,0,0.18449882300636655
219,131,ShopFloor,0,0.0
220,131,CrackItUp,0,0.0
221,131,NEC IIT Bombay Presents CodeSprint,0,0.0
222,131,Kamaal Dhamaal Bemisaal,0,0.0
223,131,Brainy Awards,0,0.0
224,131,Inquizito - Tickle Your Grey Cells,0,0.0
225,131,Finathon - Time To Trade!,0,0.0
226,131,Yalgaar - Time For Halla Bol!,0,0.0
227,131,IntellOps- Article Writing Competition By OpCellence,0,0.0
228,131,BIOCON PRESENTS SHOT OF LIFE,0,0.0
229,131,NEC IIT Bombay Presents Empresario,0,0.0
230,131,Rural Le Carte,0,0.0
231,131,The Fast Pay Story,0,0.0
232,131,"FINAcumen, IIM Nagpur",0,0.0
233,131,NEC IIT Bombay Presents Hashtrix,0,0.0
234,131,NEC IIT Bomaby Presents HackStack,0,0.0
235,131,Asia Pacific International Conference,0,0.0
236,131,Interview Question Of Year 2017,0,0.0
237,131,The Great Analytics Quiz,0,0.0
238,131,"Paper Presentation On ""  Effect Of App Based Learning In School Education (K-12)""",0,0.0
239,131,KDP Pen To Publish Contest,0,0.0399161020171309
240,131,Banjara International Film Festival 2017,0,-0.11822488050425442
241,131,Spanish Guitar Competition 2017,0,-0.016801653845425736
242,131,SSGK Maestro Olympiad,0,0.07527768123010768
243,131,Global Business Model Competition 2017,0,0.005731285604258525
244,131,National Geography Olympiad 2017,0,0.12793419286337107
245,131,NATS Talent Search,1,0.9084914663926843
246,131,JIFF ISC Script Contest,0,0.0
247,131,Maay Marathi Film Competition 2017,0,0.04299396299093838
